,rapm,name,pos,events_onice
8478472,0.07588398585031654,Mathieu Joseph,R,317
8478474,-0.04212454848813846,Lawson Crouse,L,569
8478476,-0.09540124347073631,Kyle Capobianco,D,51
8478477,0.027225236108405708,Mitchell Stephens,C,73
8478483,0.052707511067215954,Mitch Marner,R,910
8478493,0.020926259557001812,Joel Eriksson Ek,C,895
8478498,0.17587086448589567,Jake DeBrusk,L,653
8478500,-0.24041348025991313,Ivan Provorov,D,749
8478502,-0.03980890969066683,Dennis Gilbert,D,107
8478507,-0.09155871703342912,John Marino,D,480
8478508,0.042325202034619404,Yakov Trenin,C,375
8478519,0.009687475344371418,Anthony Cirelli,C,789
8478542,0.10383950515169892,Evan Rodrigues,C,546
8478550,0.36269658001513255,Artemi Panarin,L,678
8478569,-0.11002731073931175,Noel Acciari,C,461
8478585,-0.09496975625361591,Derek Ryan,C,210
8478831,-0.1911540352981346,Kevin Stenlund,C,774
8478840,-0.061603567682474145,Will Borgen,D,487
8478851,-0.1836371285874461,Alexandre Carrier,D,686
8478854,-0.0938305382852827,Ryan Shea,D,318
8478856,0.17378287369858408,Conor Garland,R,617
8478859,-0.17691947399112057,Niko Mikkola,D,737
8478864,0.26299381298654056,Kirill Kaprizov,L,652
8478873,0.1957028535892976,Troy Terry,R,703
8478874,0.12978341672380195,Adam Gaudette,R,202
8478882,-0.24037834676346218,Vladislav Gavrikov,D,818
8478891,0.12383688319065092,Mason Appleton,C,323
8478904,-0.029101761172841585,Steven Lorentz,C,290
8478911,-0.11596972368579997,Matt Roy,D,680
8478970,-0.16876553712228412,Jalen Chatfield,D,526
8478975,0.13328042819682592,Mason Marchment,L,404
8479022,0.05106644344388664,Rodrigo Abols,C,60
8479026,-0.10776326300142387,Philippe Myers,D,111
8479066,0.1582919690718988,Ryan Lomberg,L,273
8479291,-0.14880624859584263,Kevin Rooney,C,236
8479293,-0.03249374784271697,Brandon Tanev,L,390
8479314,0.22024556072989265,Matthew Tkachuk,L,646
8479315,0.145239545260357,Joey Anderson,R,73
8479316,-0.02007429070191924,Luke Kunin,C,431
8479318,0.16304042775214844,Auston Matthews,C,750
8479323,0.0660837713418389,Adam Fox,D,736
8479324,-0.3181373968754698,Ryan Lindgren,D,671
8479325,-0.048744757210104836,Charlie McAvoy,D,915
8479336,0.096640494915923,Carl Grundstrom,R,194
8479337,0.27900532737004224,Alex DeBrincat,R,765
8479339,0.13896230975051702,Patrik Laine,L,185
8479343,0.1853630212206799,Clayton Keller,R,830
8479344,0.05017963154798838,Jesse Puljujarvi,R,60
8479345,0.03243904819892221,Jakob Chychrun,D,763
8479346,-0.040265984615680636,Dillon Dube,C,54
8479351,-0.004249472843966974,Sam Steel,C,488
8479353,0.034268217776774974,Brett Howden,C,348
8479359,-0.012879667148487001,Beck Malenstyn,L,449
8479365,0.09242905066893463,Trent Frederic,C,319
8479368,0.1295415283756063,Max Jones,L,164
8479369,-0.054913925807056216,Andrew Peeke,D,444
8479370,-0.06276698225570056,Tyson Jost,C,239
8479371,-0.11358033142658008,Dante Fabbro,D,392
8479372,-0.09424137386855627,Joshua Mahura,D,190
8479378,-0.050876549276560865,Logan Stanley,D,307
8479383,0.09555338174793579,Boris Katchouk,L,99
8479385,0.2566098411501523,Jordan Kyrou,R,567
8479390,0.12124162136115454,Taylor Raddysh,R,304
8479393,0.05186803025146654,Noah Gregor,L,197
8479395,0.05648921122672127,Dennis Cholowski,D,65
8479398,-0.06028003987523573,Samuel Girard,D,402
8479400,0.17547435165363537,Pierre-Luc Dubois,L,495
8479402,-0.07964314507984921,Jake Bean,D,288
8479407,0.2929535856508635,Jesper Bratt,L,658
8479410,-0.04478620075963703,Mikhail Sergachev,D,915
8479414,0.04547011476318549,Nathan Bastian,R,188
8479415,-0.1284787888838029,Michael McLeod,C,112
8479420,0.2479640645717764,Tage Thompson,C,793
8479421,-0.14034982213249986,Jacob Moverare,D,96
8479423,0.09466650812252059,Alex Nylander,L,64
8479425,-0.13727247544963506,Filip Hronek,D,763
8479442,-0.06537087521182061,Troy Stecher,D,368
8479458,-0.048071426553568275,Nikita Zaitsev,D,60
8479520,-0.024247081055580044,Brandon Duhaime,R,466
8479525,0.07596104868600896,Ross Colton,C,335
8479542,0.04130277042913638,Brandon Hagel,L,813
8479543,0.1573055777020213,Michael Pezzetta,L,105
8479576,-0.1980795190361619,Vincent Desharnais,D,443
8479591,0.1170075162962558,Michael Eyssimont,C,326
8479619,0.1416068825359027,Michael Carcone,L,271
8479638,0.05307210756663724,Justin Brazeau,R,199
8479661,0.10025335095610655,Tanner Jeannot,L,266
8479671,0.0706232813102462,Mathieu Olivier,R,254
8479675,0.07978173041003456,Trevor Moore,L,520
8479705,0.06341206316647123,Jeffrey Viel,L,78
8479772,0.034718131414239815,Zack MacEwen,R,50
8479941,-0.06332437392434342,Justin Danforth,R,274
8479944,-0.03660707359378742,Zachary Aston-Reese,L,191
8479968,0.07132900897677052,Vinni Lettieri,C,74
8479976,-0.02680444701303725,Juuso Välimäki,D,226
8479977,0.14170223308143354,Kailer Yamamoto,R,216
8479980,-0.11733171478746288,Nicolas Hague,D,382
8479981,0.16112328677111576,Jonah Gadjovich,L,133
8479982,-0.1441244297971573,Conor Timmins,D,339
8479983,-0.2618717840938347,Mario Ferraro,D,783
8479987,0.17327664568667595,Morgan Geekie,C,549
8479992,-0.0367827058107498,Michael Rasmussen,C,392
8479996,0.09557425010776906,Cody Glass,C,271
8479998,-0.2677123529186086,Mikey Anderson,D,658
8479999,0.16057613193456297,Casey Mittelstadt,C,508
8480001,-0.12030410571982987,Urho Vaakanainen,D,325
8480002,0.07908298543981972,Nico Hischier,C,847
8480003,0.04498924363669687,Jesper Boqvist,C,296
8480008,0.05833054558941703,Adam Ruzicka,C,64
8480009,0.1305872277329059,Eeli Tolvanen,R,451
8480011,0.08756884211798957,Klim Kostin,C,120
8480012,0.18179085842498335,Elias Pettersson,C,802
8480014,0.14640339165792315,Gabriel Vilardi,C,560
8480015,0.20072125705204447,Owen Tippett,R,570
8480018,0.09968964751987243,Nick Suzuki,C,927
8480021,-0.00046534820353012936,Jack Studnicka,C,56
8480023,0.09728882195302797,Robert Thomas,C,820
8480025,-0.044115845519246175,MacKenzie Entwistle,R,71
8480027,0.32874466903534627,Jason Robertson,L,732
8480028,0.15834017168301773,Morgan Frost,C,633
8480035,-0.0994758091628299,Henri Jokiharju,D,352
8480036,0.05608668745016715,Miro Heiskanen,D,759
8480039,0.20559417483428433,Martin Necas,C,667
8480043,-0.02775234898281606,Timothy Liljegren,D,433
8480049,-0.21733946862004747,Dylan Samberg,D,517
8480058,-0.11400944995739376,Pierre-Olivier Joseph,D,210
8480064,0.07595148522374563,Josh Norris,C,600
8480068,-0.15556988636565056,Ryan Poehling,C,543
8480069,0.05494205778741377,Cale Makar,D,1094
8480073,-0.053184528393013165,Erik Brannstrom,D,237
8480074,0.07312711123427322,Alexandre Texier,L,293
8480078,-0.020076220897462013,Filip Chytil,C,158
8480084,-0.059116668955215786,Nick DeSimone,D,136
8480113,0.09664993962684615,Alex Iafallo,L,512
8480144,-0.1495116950092767,David Kampf,C,442
8480145,-0.10246469576899647,Neal Pionk,D,536
8480172,-0.1850624926317973,Jan Rutta,D,304
8480184,-0.08473191898707462,Gustav Lindstrom,D,91
8480185,0.0031148707842079022,Eetu Luostarinen,C,670
8480188,0.15972361131543067,Fabian Zetterlund,L,536
8480192,-0.1634038803927216,Johnathan Kovacevic,D,495
8480196,0.03478614374126912,Jacob Bryson,D,180
8480205,-0.005059213280674385,Emil Bemstrom,C,73
8480208,0.30044710269532005,Drake Batherson,R,825
8480220,0.011649923841256222,Noah Cates,L,542
8480222,-0.07942598878277218,Sebastian Aho,D,84
8480245,0.08730888744982396,Olle Lycksell,R,51
